condition,coherence,time,invtime,stimulus,decision
3,0.5,8,7,1,1
3,0.5,9,6,1,1
3,0.5,10,5,1,1
3,0.5,11,4,1,1
3,0.5,12,3,1,1
3,0.5,13,2,1,1
3,0.5,14,1,1,1
3,0.72,1,7,1,1
3,0.72,2,6,1,1
3,0.72,3,5,1,1
3,0.72,4,4,1,1
3,0.72,5,3,1,1
3,0.72,6,2,1,1
3,0.72,7,1,0,1
3,0.5,1,5,0,0
3,0.5,2,4,0,0
3,0.5,3,3,0,0
3,0.5,4,2,0,0
3,0.5,5,1,0,0
3,0.28,1,12,0,0
3,0.28,2,11,1,0
3,0.28,3,10,0,0
3,0.28,4,9,0,0
3,0.28,5,8,1,0
3,0.28,6,7,0,0
3,0.28,7,6,0,0
3,0.28,8,5,1,0
3,0.28,9,4,0,0
3,0.28,10,3,1,0
3,0.28,11,2,0,0
3,0.28,12,1,0,0
3,0.72,1,5,1,1
3,0.72,2,4,1,1
3,0.72,3,3,1,1
3,0.72,4,2,1,1
3,0.72,5,1,1,1
3,0.28,1,5,0,0
3,0.28,2,4,0,0
3,0.28,3,3,0,0
3,0.28,4,2,0,0
3,0.28,5,1,0,0
3,0.28,1,12,0,0
3,0.28,2,11,0,0
3,0.28,3,10,1,0
3,0.28,4,9,0,0
3,0.28,5,8,0,0
3,0.28,6,7,1,0
3,0.28,7,6,0,0
3,0.28,8,5,0,0
3,0.28,9,4,1,0
3,0.28,10,3,0,0
3,0.28,11,2,0,0
3,0.28,12,1,1,0
3,0.5,1,16,1,1
3,0.5,2,15,0,1
3,0.5,3,14,1,1
3,0.5,4,13,1,1
3,0.5,5,12,0,1
3,0.5,6,11,0,1
3,0.5,7,10,1,1
3,0.5,8,9,0,1
3,0.5,9,8,1,1
3,0.5,10,7,0,1
3,0.5,11,6,1,1
3,0.5,12,5,1,1
3,0.5,13,4,1,1
3,0.5,14,3,1,1
3,0.5,15,2,1,1
3,0.5,16,1,0,1
3,0.28,1,7,1,0
3,0.28,2,6,0,0
3,0.28,3,5,0,0
3,0.28,4,4,0,0
3,0.28,5,3,1,0
3,0.28,6,2,1,0
3,0.28,7,1,0,0
3,0.72,1,7,1,0
3,0.72,2,6,1,0
3,0.72,3,5,1,0
3,0.72,4,4,0,0
3,0.72,5,3,1,0
3,0.72,6,2,1,0
3,0.72,7,1,1,0
3,0.72,1,11,1,1
3,0.72,2,10,0,1
3,0.72,3,9,1,1
3,0.72,4,8,0,1
3,0.72,5,7,1,1
3,0.72,6,6,1,1
3,0.72,7,5,1,1
3,0.72,8,4,1,1
3,0.72,9,3,1,1
3,0.72,10,2,1,1
3,0.72,11,1,1,1
3,0.5,1,6,1,1
3,0.5,2,5,1,1
3,0.5,3,4,1,1
3,0.5,4,3,1,1
3,0.5,5,2,1,1
3,0.5,6,1,0,1
3,0.5,1,8,1,0
3,0.5,2,7,0,0
3,0.5,3,6,0,0
3,0.5,4,5,0,0
3,0.5,5,4,1,0
3,0.5,6,3,0,0
3,0.5,7,2,1,0
3,0.5,8,1,0,0
3,0.28,1,6,0,0
3,0.28,2,5,0,0
3,0.28,3,4,0,0
3,0.28,4,3,1,0
3,0.28,5,2,1,0
3,0.28,6,1,0,0
3,0.72,1,8,0,1
3,0.72,2,7,1,1
3,0.72,3,6,1,1
3,0.72,4,5,1,1
3,0.72,5,4,0,1
3,0.72,6,3,1,1
3,0.72,7,2,1,1
3,0.72,8,1,1,1
3,0.28,1,20,1,1
3,0.28,2,19,0,1
3,0.28,3,18,0,1
3,0.28,4,17,1,1
3,0.28,5,16,0,1
3,0.28,6,15,0,1
3,0.28,7,14,1,1
3,0.28,8,13,0,1
3,0.28,9,12,1,1
3,0.28,10,11,1,1
3,0.28,11,10,0,1
3,0.28,12,9,0,1
3,0.28,13,8,1,1
3,0.28,14,7,0,1
3,0.28,15,6,1,1
3,0.28,16,5,1,1
3,0.28,17,4,0,1
3,0.28,18,3,1,1
3,0.28,19,2,1,1
3,0.28,20,1,0,1
3,0.5,1,7,0,1
3,0.5,2,6,1,1
3,0.5,3,5,1,1
3,0.5,4,4,1,1
3,0.5,5,3,0,1
3,0.5,6,2,1,1
3,0.5,7,1,1,1
3,0.5,1,6,1,1
3,0.5,2,5,1,1
3,0.5,3,4,1,1
3,0.5,4,3,0,1
3,0.5,5,2,1,1
3,0.5,6,1,1,1
3,0.5,1,10,0,1
3,0.5,2,9,1,1
3,0.5,3,8,1,1
3,0.5,4,7,0,1
3,0.5,5,6,1,1
3,0.5,6,5,1,1
3,0.5,7,4,1,1
3,0.5,8,3,0,1
3,0.5,9,2,1,1
3,0.5,10,1,0,1
3,0.5,1,7,1,1
3,0.5,2,6,0,1
3,0.5,3,5,0,1
3,0.5,4,4,1,1
3,0.5,5,3,1,1
3,0.5,6,2,1,1
3,0.5,7,1,1,1
3,0.72,1,8,0,0
3,0.72,2,7,0,0
3,0.72,3,6,0,0
3,0.72,4,5,1,0
3,0.72,5,4,0,0
3,0.72,6,3,1,0
3,0.72,7,2,1,0
3,0.72,8,1,0,0
3,0.5,1,29,1,1
3,0.5,2,28,0,1
3,0.5,3,27,0,1
3,0.5,4,26,1,1
3,0.5,5,25,0,1
3,0.5,6,24,0,1
3,0.5,7,23,1,1
3,0.5,8,22,1,1
3,0.5,9,21,1,1
3,0.5,10,20,0,1
3,0.5,11,19,1,1
3,0.5,12,18,1,1
3,0.5,13,17,0,1
3,0.5,14,16,0,1
3,0.5,15,15,1,1
3,0.5,16,14,1,1
3,0.5,17,13,0,1
3,0.5,18,12,0,1
3,0.5,19,11,1,1
3,0.5,20,10,1,1
3,0.5,21,9,0,1
3,0.5,22,8,1,1
3,0.5,23,7,1,1
3,0.5,24,6,0,1
3,0.5,25,5,1,1
